"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1300","User logout test @master @regression","webkit","2026-03-16","passed","2026-03-16","","Logout.spec.ts","",""
"","1251","User login test @master @sanity @regression","webkit","2026-03-16","passed","2026-03-16","","Login.spec.ts","",""
"","2671","execute end-to-end test flow @end-to-end","chromium","2026-03-16","passed","2026-03-16","","EndToEndTest.spec.ts","",""
"","30311","Product search test @master @regression","webkit","2026-03-16","broken","2026-03-16","","SearchProduct.spec.ts","",""
"","1577","User logout test @master @regression","firefox","2026-03-16","passed","2026-03-16","","Logout.spec.ts","",""
"","3952","User registration test @master @sanity @regression","chromium","2026-03-26","passed","2026-03-26","","AccountRegistration.spec.ts","",""
"","2888","Product search test @master @regression","firefox","2026-03-16","failed","2026-03-16","","SearchProduct.spec.ts","",""
"","838","User logout test @master @regression","chromium","2026-03-26","passed","2026-03-26","","Logout.spec.ts","",""
"","549","User login test @master @sanity @regression","chromium","2026-03-26","passed","2026-03-26","","Login.spec.ts","",""
"","1511","User login test @master @sanity @regression","firefox","2026-03-16","passed","2026-03-16","","Login.spec.ts","",""
"","1179","Add product to cart test @master @regression","chromium","2026-03-26","passed","2026-03-26","","AddToCart.spec.ts","",""
"","541","Product search test @master @regression","chromium","2026-03-26","passed","2026-03-26","","SearchProduct.spec.ts","",""
